PC1,PC2,PC3
-0.327432,-0.096964,0.016579
-0.324519,-0.084438,0.012315
-0.334358,-0.077322,0.004989
-0.327776,-0.166114,-0.010476
-0.319379,0.012452,0.033419
-0.325429,0.006475,0.024870
-0.316761,0.032724,0.034212
-0.326875,0.031104,0.026066
-0.302857,-0.042028,0.034875
-0.304387,-0.024001,0.023729
-0.313370,-0.020912,0.014362
-0.303224,0.001245,0.025392
-0.312606,-0.002028,0.014970
-0.302967,0.025909,0.026745
-0.302179,0.207586,0.015374
-0.298146,0.192853,0.002015
-0.303076,0.178165,-0.003941
-0.311106,0.168688,-0.007559
-0.307714,0.161544,-0.010866
-0.314915,0.150300,-0.015883
-0.305397,0.149514,-0.024943
-0.314888,0.138263,-0.029526
-0.315648,0.152155,-0.040385
-0.302231,0.164516,-0.040394
-0.313525,0.214625,0.042572
-0.303899,0.216973,0.032666
-0.313433,0.207464,0.024789
-0.308035,0.199355,0.011129
-0.310880,0.192876,0.007577
-0.315099,0.181693,0.002231
-0.303027,0.203341,0.063559
-0.306536,0.212973,0.056826
-0.312270,0.197743,0.054614
-0.304168,0.219595,0.051790
-0.311670,0.020729,0.017182
-0.302077,0.051646,0.028463
-0.309740,0.046098,0.020341
-0.300564,0.073484,0.030237
-0.309300,0.069776,0.020948
-0.296751,0.094194,0.034742
-0.303116,0.090808,0.027291
-0.297833,0.149500,0.066210
-0.305872,0.154438,0.059048
-0.315288,0.150459,0.050022
-0.297680,0.164973,0.067614
-0.304803,0.180247,0.061411
-0.313280,0.175079,0.053422
-0.296445,0.190416,0.069904
-0.312658,0.246481,-0.051052
-0.304982,0.254712,-0.060216
-0.308664,0.254822,-0.067007
